epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.32967032967032966,1.050651508286413,0.3387096774193548,1.0462508287568106
2,0.3626373626373626,0.9727781275146096,0.3709677419354839,0.9695108441433302
3,0.6373626373626373,0.9375422525131126,0.6612903225806451,0.9248671892914174
4,0.6593406593406593,0.8993979307027543,0.6612903225806451,0.892407075503531
5,0.6373626373626373,0.8728369248808925,0.6612903225806451,0.8586664667471725
6,0.6593406593406593,0.8459608676620824,0.6612903225806451,0.8363644935630771
7,0.6373626373626373,0.8244353184395397,0.6612903225806451,0.8083227172314814
8,0.6923076923076923,0.801714654509648,0.6612903225806451,0.7899889133776647
9,0.6373626373626373,0.7844147229274607,0.6612903225806451,0.7668331034784059
10,0.7912087912087912,0.764898989698035,0.8064516129032258,0.7515257560317623
11,0.6373626373626373,0.7507393413769374,0.6612903225806451,0.7321280563203608
12,0.8901098901098901,0.7339056679655868,0.8870967741935484,0.7192621979229961
13,0.6373626373626373,0.7221452740957,0.6612903225806451,0.7028191373981825
14,0.9120879120879121,0.7075155977169403,0.9193548387096774,0.6919002808049151
15,0.6373626373626373,0.6976083744835307,0.6612903225806451,0.6778025917852268
16,0.9230769230769231,0.6847942892220336,0.9193548387096774,0.6684441301998695
17,0.6373626373626373,0.6763354182322823,0.6612903225806451,0.6562274050399588
18,0.9340659340659341,0.6650217869895755,0.967741935483871,0.6481254066635056
19,0.6373626373626373,0.657709012580731,0.6612903225806451,0.63743409637075
20,0.9560439560439561,0.6476411573388592,0.9838709677419355,0.6303493224834961
