epoch,accuracy,loss,val_accuracy,val_loss
1,0.32967032967032966,1.0371544241188615,0.3387096774193548,1.030616249209276
2,0.6703296703296703,0.9677349829040849,0.6612903225806451,0.9678010942892514
3,0.6703296703296703,0.92361763061812,0.6612903225806451,0.9253897628342578
4,0.6703296703296703,0.8874931347294702,0.6612903225806451,0.8888078652162408
5,0.6703296703296703,0.8534629823795653,0.6612903225806451,0.8575880567448103
6,0.6813186813186813,0.8227149017864079,0.6612903225806451,0.8256274873555652
7,0.6703296703296703,0.7978042624819965,0.6612903225806451,0.803619665268154
8,0.8571428571428571,0.7712984987027136,0.8064516129032258,0.775661733450661
9,0.6703296703296703,0.751883850148685,0.6612903225806451,0.7591405094883237
10,0.945054945054945,0.7293023404717304,0.9193548387096774,0.7349491247335337
11,0.6703296703296703,0.7138382717387387,0.6612903225806451,0.7223962765207261
12,0.967032967032967,0.6944881620499876,0.9516129032258065,0.7013208887981862
13,0.6703296703296703,0.6819333767912155,0.6612903225806451,0.6916792761202372
14,0.978021978021978,0.6652397528079262,0.9516129032258065,0.6731847224932898
15,0.6703296703296703,0.654861953677443,0.6612903225806451,0.6657085835301879
16,0.967032967032967,0.6403520796770616,0.9516129032258065,0.6493499181916618
17,0.6703296703296703,0.6316313653395115,0.6612903225806451,0.6435109084119871
18,0.967032967032967,0.6189135636752162,0.9516129032258065,0.6289143528228843
19,0.6703296703296703,0.6114744635453581,0.6612903225806451,0.6243324404987608
20,0.967032967032967,0.6002304530288539,0.9516129032258065,0.6111907720443313
