epoch,accuracy,loss,val_accuracy,val_loss
1,0.32967032967032966,2.091564533972979,0.5483870967741935,1.2599779712977135
2,0.5384615384615384,1.2627277730205306,0.4838709677419355,0.9552443757998158
3,0.5054945054945055,0.9779078863103833,0.6612903225806451,0.9168671060161936
4,0.6483516483516484,0.9317216029251788,0.6612903225806451,0.8936397345355496
5,0.6703296703296703,0.9076061678446554,0.6612903225806451,0.8912473347604881
6,0.6483516483516484,0.908909161057992,0.6612903225806451,0.9023112028981166
7,0.6703296703296703,0.9136933139896295,0.6612903225806451,0.9092540950376689
8,0.6703296703296703,0.9270833481749032,0.6612903225806451,0.9112905403482625
9,0.6703296703296703,0.9213440382043939,0.6612903225806451,0.9101809787677851
10,0.6703296703296703,0.9266260304661015,0.6612903225806451,0.8868317733753934
11,0.6703296703296703,0.8957757526815996,0.6612903225806451,0.8886630497372114
12,0.6703296703296703,0.903459635623988,0.6612903225806451,0.855386354303483
13,0.6703296703296703,0.8634470243816477,0.6612903225806451,0.8671130379106868
14,0.6703296703296703,0.8802347033715883,0.6612903225806451,0.8278810235351463
15,0.6703296703296703,0.835062092593592,0.6612903225806451,0.8484392760070939
16,0.6703296703296703,0.8598822609740233,0.6612903225806451,0.8042934891545225
17,0.6703296703296703,0.8105711280498245,0.6612903225806451,0.8320846185943965
18,0.6703296703296703,0.8418529378773074,0.6612903225806451,0.7837930251852541
19,0.6703296703296703,0.7891540613494369,0.6612903225806451,0.81755497229847
20,0.6703296703296703,0.825658796898251,0.6612903225806451,0.7657324216634448
