epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.32967032967032966,1.056347657047808,0.3387096774193548,1.049292172547461
2,0.3516483516483517,0.9790985925223312,0.3709677419354839,0.9715562587244023
3,0.6263736263736264,0.9421991885461094,0.6612903225806451,0.9178651322392145
4,0.6483516483516484,0.9013401146673437,0.6612903225806451,0.8842678984796879
5,0.6263736263736264,0.8787850008994741,0.6612903225806451,0.8518756004255968
6,0.6483516483516484,0.8562381713051292,0.6612903225806451,0.8333408468712529
7,0.6153846153846154,0.8381168291285533,0.6612903225806451,0.8063461238755122
8,0.6483516483516484,0.8196993582881644,0.6612903225806451,0.7915551663991465
9,0.6153846153846154,0.8053780418340283,0.6612903225806451,0.7691248034674694
10,0.6813186813186813,0.7897313424005371,0.6612903225806451,0.7569420795163788
11,0.6153846153846154,0.778092920663311,0.6612903225806451,0.7379393897849849
12,0.7582417582417582,0.7647909087876986,0.7580645161290323,0.7278885169560743
13,0.6153846153846154,0.7551955004935726,0.6612903225806451,0.711580031562178
14,0.8021978021978022,0.7437848276142625,0.8225806451612904,0.7032172880430634
15,0.6153846153846154,0.7357673099712405,0.6612903225806451,0.6890602792036944
16,0.8461538461538461,0.7258927597311284,0.8870967741935484,0.682041072865894
17,0.6153846153846154,0.7191088805200664,0.6612903225806451,0.669623470981548
18,0.8791208791208791,0.710490421392905,0.9354838709677419,0.6636795932228237
19,0.6153846153846154,0.7046834338277589,0.6612903225806451,0.6526859411907806
20,0.8791208791208791,0.6970997290270519,0.967741935483871,0.6476082314356517
